"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1","1","470uF","","","","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","~"
"C2,C3","2","0.1uF","","","","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","~"
"D1,D2,D3,D4","4","1N4007","","","","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf"
"D5","1","LED","","","","LED_THT:LED_D3.0mm","~"
"F1","1","Fuse","","","","Fuse:Fuseholder_Cylinder-5x20mm_Bulgin_FX0457_Horizontal_Closed","~"
"J1","1","AC_INPUT","","","","TerminalBlock:TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm","~"
"J2","1","(+5v, gnd)","","","","TerminalBlock:TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm","~"
"R1","1","150","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical","~"
"T1","1","Transformer_1P_1S","","","","Transformer_THT:Transformer_CHK_EI30-2VA_1xSec","~"
"U1","1","L7805","","","","Package_TO_SOT_THT:TO-220-3_Vertical","http://www.st.com/content/ccc/resource/technical/document/datasheet/41/4f/b3/b0/12/d4/47/88/CD00000444.pdf/files/CD00000444.pdf/jcr:content/translations/en.CD00000444.pdf"
